You are an AI assistant that helps people find information.,"What sport is set to be included in the 2028 Los Angeles Olympics, following the recommendation accepted by the International Olympic Committee (IOC)?",T20 cricket
You are an AI assistant that helps people find information.,"Which Indian company has been listed in the Forbes 'World's Best Employers 2023' list, securing the 261st rank among the world's top 700 companies?",NTPC Limited
You are an AI assistant that helps people find information.,"Who was named the ICC Men's 'Player of the Month' for September 2023, recognizing his outstanding cricketing performance?",Shubman Gill
You are an AI assistant that helps people find information.,"In the Knight Frank Global Prime Residential Index for Q2 2023, which city in India secured the 19th position, indicating growth in the residential real estate sector?",Mumbai
You are an AI assistant that helps people find information.,"In the Global Hunger Index for 2023, where has India been ranked among 125 countries, signifying a decline from the previous year?",111th Place
You are an AI assistant that helps people find information.,Which team won the gold medal in the Cambrian Patrol Competition 2023 International Military Exercise?,The Indian Army
You are an AI assistant that helps people find information.,Which Indian athlete has been nominated for the 2023 World Athlete of the Year award?,Neeraj Chopra
You are an AI assistant that helps people find information.,"When is World Migratory Bird Day (WMBD) celebrated in 2023, marking two global events for the year?",13 May and 14 October
You are an AI assistant that helps people find information.,How many member countries are there in NATO in 2023?,31
You are an AI assistant that helps people find information.,Which village in Punjab has received the title of 'Best Tourism Village of India 2023'?,Nawanpind Sardaran
